Month;IDH;IdH;ITH 
Jan;4.58;2.97;7.55
Feb;4.86;2.93;7.81
Mar;4.78;2.72;7.50
Apr;4.33;2.40;6.74
May;3.66;2.05;5.72
Jun;3.88;2.20;6.09
Jul;4.12;2.33;6.45
Aug;4.09;2.27;6.35
Sep;3.46;1.94;5.39
Oct;3.10;1.83;4.93
Nov;3.15;2.00;5.16
Dec;3.80;2.53;6.34
